"LabID","Pol"
15989,-0.338669051617142
58062,-0.345586624808352
544,-0.372599839380886
50623,-0.383678907790027
51959,-0.355570562896985
53932,-0.396710958604074
11084,-0.378075490983427
3488,-0.374242534861649
26154,-0.442980214645543
53131,-0.349109294005987
14480,-0.310031393735855
1416,-0.3441812075637
34753,-0.394465941447032
9635,-0.385577133678908
58480,-0.355716580273053
51984,-0.360936701467475
22487,-0.326385339855443
51959,-0.355570562896985
57648,-0.31318901949332
43139,-0.336022486675915
42536,-0.351883624151274
28796,-0.319066218880047
42466,-0.362980944732423
34513,-0.378349273563554
38623,-0.359147988610645
41323,-0.319413010148208
31933,-0.352741476235672
40392,-0.345239833540191
9969,-0.29398773454041
34513,-0.378349273563554
52954,-0.358399649558298
57932,-0.349748120026283
34402,-0.398499671460904
19425,-0.347484850697233
27170,-0.360589910199314
4279,-0.373220413229174
51270,-0.343414616339344
59928,-0.429090311747098
38623,-0.359147988610645
53131,-0.349109294005987
53335,-0.381506899321019
23992,-0.333795721690881
59686,-0.396291158647879
40291,-0.316036358326641
51524,-0.323410235818062
28478,-0.340147477549829
52774,-0.375428926042199
20656,-0.36349200554866
21047,-0.384701029422501
31741,-0.384062203402205
29452,-0.33273709571439
51524,-0.323410235818062
15623,-0.318956705847996
18641,-0.310962254508287
25142,-0.366394100898007
34336,-0.317642549463386
27427,-0.288457326421844
54380,-0.370081039643718
25167,-0.368310578958896
46871,-0.366631379134117
39098,-0.346389720376725
36587,-0.338377016865007
17288,-0.338395269037015
27879,-0.367690005110608
3404,-0.278783675257356
3132,-0.347010294225013
63052,-0.356300649777324
38249,-0.336697817040228
29313,-0.356318901949332
63744,-0.286650361393006
25901,-0.319960575308462
42334,-0.320489888296707
60553,-0.36349200554866
10429,-0.376688325910783
25140,-0.311345550120464
32258,-0.32487040957874
13896,-0.37625027378258
54208,-0.320562896984741
45093,-0.363765788128787
8101,-0.401000219026064
24655,-0.319066218880047
25140,-0.311345550120464
25142,-0.366394100898007
35966,-0.340822807914142
44104,-0.364203840256991
32258,-0.32487040957874
28130,-0.317021975615098
55633,-0.385741403226984
9003,-0.330510330729357
31741,-0.384062203402205
7497,-0.339399138497481
26019,-0.280079579469957
46311,-0.300923559903629
27204,-0.322461122873622
52092,-0.314941228006133
32715,-0.252537051909177
34182,-0.260111703292692
28452,-0.254782069066219
14196,-0.34668175512886
64799,-0.36075417974739
36363,-0.347831641965394
53325,-0.295849456085274
43686,-0.278199605753085
49703,-0.337409651748558
63145,-0.334434547711178
14320,-0.338139738628897
53563,-0.355643571585019
37301,-0.2668102504198
61962,-0.328411330948383
24946,-0.296232751697452
35643,-0.288329561217785
4282,-0.280298605534059
60790,-0.308388698255092
53325,-0.295849456085274
18712,-0.282744396583193
14090,-0.3150872453822
51533,-0.288931882894064
24993,-0.327955026648171
13427,-0.289132656786158
25320,-0.346042929108564
59241,-0.271318536905892
46671,-0.239249470687012
41260,-0.305450098561729
51268,-0.350934511206834
40886,-0.331094400233628
44982,-0.279422501277652
16498,-0.305541359421771
14090,-0.3150872453822
64802,-0.292509308607724
27204,-0.322461122873622
38778,-0.370008030955684
22247,-0.310487698036066
41989,-0.362068336132
35046,-0.340950573118201
52092,-0.314941228006133
27258,-0.326531357231511
54346,-0.300887055559612
61539,-0.2959042126013
14320,-0.338139738628897
32344,-0.314247645469811
44982,-0.279422501277652
19505,-0.243757757173104
46955,-0.298149229758341
20176,-0.2668102504198
40266,-0.323191209753961
38666,-0.320891436080894
61034,-0.255548660290575
22104,-0.273143754106739
60655,-0.353015258815799
140,-0.295338395269037
65172,-0.278053588377017
48271,-0.291596700007301
9038,-0.289899248010513
61709,-0.31450317587793
3124,-0.241403226984011
37309,-0.262338468277725
54443,-0.260421990216836
20189,-0.249488939183763
62529,-0.281649266262685
20562,-0.318482149375776
35477,-0.3508615025188
33956,-0.368219318098854
22104,-0.273143754106739
62854,-0.311436810980507
40644,-0.285299700664379
6279,-0.328320070088341
8492,-0.334544060743229
65122,-0.37374972621742
57518,-0.263086807330072
31514,-0.280170840329999
16776,-0.266883259107834
28335,-0.230360662918887
29072,-0.232532671387895
55768,-0.241640505220121
11863,-0.242388844272468
47338,-0.289351682850259
42726,-0.294097247572461
15025,-0.265003285390962
2360,-0.269274293640943
13175,-0.319522523180259
46993,-0.296324012557494
7446,-0.220048185734102
13326,-0.232751697451997
65060,-0.234138862524641
40644,-0.285299700664379
19130,-0.302420238008323
3804,-0.300558516463459
48507,-0.237953566474411
54833,-0.237168723078046
73,-0.309575089435643
31788,-0.248229539315179
23640,-0.30913703730744
10843,-0.289625465430386
47461,-0.257775425275608
49897,-0.242680879024604
57691,-0.271756589034095
34934,-0.241275461779952
10186,-0.249123895743594
28777,-0.332536321822297
34649,-0.220139446594145
33918,-0.277451266700737
36596,-0.258852303424108
51706,-0.262940789954005
54829,-0.274932466963569
26463,-0.229429802146456
3173,-0.252445791049135
